2024-05-08 21:22:55.833 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"123123","email":"admin@mail.com"}
2024-05-13 19:45:45.078 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-13 19:45:49.144 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:45:49.197 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:46:23.056 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:46:23.065 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:48:22.886 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"","email":""}
2024-05-13 19:48:22.898 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-13 19:49:37.656 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:49:37.774 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:49:38.059 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"","email":""}
2024-05-13 19:49:38.062 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-13 19:50:26.635 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:50:26.750 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:51:40.106 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:51:40.116 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:51:43.091 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:51:43.100 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"Nome teste","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:52:24.646 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:52:24.667 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:52:27.173 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:52:27.187 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"Nome teste","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:53:45.695 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:53:45.832 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:53:48.435 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:53:48.443 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"Nome teste","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:56:27.878 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:56:27.892 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:56:30.391 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:56:30.397 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"Nome teste","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:59:40.766 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:59:40.904 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:59:43.199 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:59:43.207 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:59:50.221 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"email@email.com","nome":"Nome teste1","email":"senha1234"}
2024-05-13 19:59:50.233 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 20:00:05.848 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 20:00:05.864 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 20:00:08.335 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 20:00:08.339 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 20:00:12.439 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 20:00:12.451 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 20:00:21.799 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"email@email.com","nome":"Nome teste","email":"senha123"}
2024-05-13 20:00:21.812 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 20:04:32.471 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 20:04:32.586 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 20:04:39.804 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 20:04:39.819 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 20:04:44.087 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"email@email.com","nome":"Nome teste","email":"senha1235"}
2024-05-13 20:04:44.209 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 20:22:40.689 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 20:22:40.855 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 20:22:43.364 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 20:22:43.405 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 20:23:59.397 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"dasdas@das.com","nome":"Nome teste","email":"senha123"}
2024-05-13 20:23:59.572 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 20:24:49.457 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 20:24:49.478 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 20:24:51.779 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 20:24:51.784 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 20:24:56.791 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"email@email.com","nome":"Nome teste","email":"senha123"}
2024-05-13 20:24:56.905 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 20:57:17.046 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"","email":""}
2024-05-13 20:57:17.168 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-13 20:57:24.155 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 20:57:24.190 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 20:57:26.533 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 20:57:26.546 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 20:57:35.157 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"email@email.com","nome":"Nome teste","email":"senha123"}
2024-05-13 20:57:35.284 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 21:01:10.171 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 21:01:10.323 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 21:01:13.823 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 21:01:13.835 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 21:01:23.947 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"email@email.com","nome":"Nome teste","email":"senha123"}
2024-05-13 21:01:24.069 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 21:05:42.632 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"","email":""}
2024-05-13 21:05:42.756 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-13 21:06:01.434 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 21:06:01.461 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 21:06:04.032 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 21:06:04.048 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 21:06:06.197 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"senha123","nome":"Nome teste","email":""}
2024-05-13 21:06:06.319 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","mensagem":"Operação não encontrada","status":404}
2024-05-13 21:06:17.629 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":" senha123","email":"email@email.com"}
2024-05-13 21:06:17.634 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-13 21:06:22.197 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 21:06:22.207 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 21:06:24.953 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 21:06:24.960 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"senha123","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 21:06:29.714 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"atualizarCandidato","senha":"senha123","nome":"Nome teste","email":"email@email.com"}
2024-05-13 21:06:29.876 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"atualizarCandidato","status":201}
2024-05-13 21:06:43.509 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
